Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S76514889,Wood Duck,Aix sponsa,397,1,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2020-11-21,11:01 AM,eBird - Traveling Count,217,1,9.63,,2,,Juvenile
S87669468,Wood Duck,Aix sponsa,397,3,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S89295836,American Wigeon,Mareca americana,445,4,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2021-05-30,01:46 PM,eBird - Traveling Count,104,1,2.22,,3
S87669468,American Wigeon,Mareca americana,445,3,CA-QC,Roussillon,L465864,RF Marguerite-D'Youville,45.3914585,-73.7611771,2021-05-09,09:15 AM,eBird - Traveling Count,352,1,8.36,,4
S74982148,Mallard,Anas platyrhynchos,471,4,CA-QC,Longueuil,L1658613,PN des Îles-de-Boucherville (incluant Île Charron),45.594218,-73.4755858,2020-10-17,09:49 AM,eBird - Traveling Count,340,1,13.76,,2
S84983754,Mallard,Anas platyrhynchos,471,2,CA-QC,Montréal,L806691,Cimetières Mt-Royal & Notre-Dame-des-Neiges,45.5049279,-73.6039953,2021-04-06,02:36 PM,eBird - Traveling Count,114,1,4.76,,2
S86260185,Mallard,Anas platyrhynchos,471,2,CA-QC,Montréal,L806691,Cimetières Mt-Royal & Notre-Dame-des-Neiges,45.5049279,-73.6039953,2021-04-24,06:00 AM,eBird - Traveling Count,262,1,9.6,,1
S87475363,Mallard,Anas platyrhynchos,471,1,CA-QC,Montréal,L806691,Cimetières Mt-Royal & Notre-Dame-des-Neiges,45.5049279,-73.6039953,2021-05-08,10:47 AM,eBird - Traveling Count,180,1,6.97,,2
S87756001,Mallard,Anas platyrhynchos,471,1,CA-QC,Montréal,L806691,Cimetières Mt-Royal & Notre-Dame-des-Neiges,45.5049279,-73.6039953,2021-05-10,01:32 PM,eBird - Traveling Count,117,1,5.24,,2
S88913782,Mallard,Anas platyrhynchos,471,3,CA-QC,Montréal,L166210,PN du Bois-de-l'île-Bizard,45.5100537,-73.8786578,2021-05-24,09:29 AM,eBird - Traveling Count,347,1,9.75,,4
